what,kind,bundleId,bundleVersion,description,time
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1321967715215
java.vm.specification.version,sysinfo,,,"1.0",1321967715215
java.vm.vendor,sysinfo,,,"Apple Inc.",1321967715215
java.vm.version,sysinfo,,,"20.1-b02-383",1321967715215
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321967870712
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321968343783
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1321968345499
started,bundle,org.eclipse.wst.server.core,1.1.303.v20110816_1717,"org.eclipse.wst.server.core",1321968345699
started,bundle,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui",1321968345710
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1321968345768
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1321968345817
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321968346316
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321968351735
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1321968358346
started,bundle,org.eclipse.wst.jsdt.core,1.1.101.v201108151912,"org.eclipse.wst.jsdt.core",1321968358464
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321968367704
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321968381403
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321968397146
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321968932585
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321968939174
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321968945876
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321968967830
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321968984114
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321974330704
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321974333790
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321974342465
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321974353159
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321974354161
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321974357595
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1321974369639
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321974370642
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321974374640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321974375087
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321974375986
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1321974377378
